유형명,용도명,수출국,원산지,품목,수출국,원산지,총수입건수,총수입중량(톤),총수입금액(천$),부적합건수,부적합중량(톤),부적합금액(천$),현품부재중량(톤),현품부재금액(천$)
,,,,"냉동가자미(첨치가자미,F,포장횟감)",,,45,88.41,"1,210.12",0,0,0,0,0
,,,,"냉동가자미(첨치가자미,S,포장횟감)",,,24,85.86,961.52,0,0,0,0,0
,,,,냉동가재(가시갯가재),,,4,2.22,30.1,0,0,0,0,0
,,,,냉동가재(갯가재),,,29,35.72,50.96,0,0,0,0,0
,,,,"냉동가재(갯가재,자숙)",,,2,4.86,14.46,0,0,0,0,0
,,,,냉동가재(민물가재),,,110,753.74,"5,825.52",0,0,0,0,0
,,,,"냉동가재(민물가재,자숙)",,,38,258.67,845.52,0,0,0,0,0
,,,,"냉동가재(민물가재,집게다리)",,,10,85.98,90.2,0,0,0,0,0
,,,,냉동가재(바다가재),,,864,"3,356.61","109,988.64",4,1.24,31.78,0,0
,,,,"냉동가재(바다가재,자숙)",,,521,"4,265.97","64,334.79",0,0,0,0.1,1.1
,,,,"냉동가재(바다가재,집게다리,자숙)",,,13,47.93,"1,067.87",0,0,0,0,0
,,,,냉동가재살(갯가재),,,3,2.76,5.63,0,0,0,0,0
,,,,"냉동가재살(갯가재,자숙)",,,3,4.44,44.16,0,0,0,0,0
,,,,"냉동가재살(갯가재,자숙,포장횟감)",,,73,199.77,"1,745.52",1,3.12,36.72,0,0
,,,,"냉동가재살(민물가재,자숙)",,,29,238.87,"1,097.84",0,0,0,0,0
,,,,냉동가재살(바다가재),,,31,45.04,"1,640.21",0,0,0,0,0
,,,,"냉동가재살(바다가재,자숙)",,,95,110.93,"5,297.75",0,0,0,0,0
,,,,"냉동가재살(바다가재,집게다리,자숙)",,,10,5.85,302.92,0,0,0,0,0
,,,,냉동간(대구),,,86,169.12,107.82,0,0,0,0,0
,,,,냉동간(명태),,,200,"2,718.67","2,934.4",5,27.27,21.24,0,0
,,,,냉동간(아귀),,,26,89.28,113.53,0,0,0,0,0
,,,,"냉동간(아귀,자숙)",,,10,0.33,191.5,0,0,0,0,0
,,,,냉동간(줄민태),,,2,1.97,2.17,0,0,0,0,0
,,,,냉동간(홍어),,,154,120.39,230.95,1,0.29,0.69,0,0
,,,,냉동간(황다랑어),,,2,0.07,0.08,0,0,0,0,0
,,,,냉동간(회초리꼬리민태),,,4,5.78,0.53,0,0,0,0,0
,,,,냉동갈치,,,"29,863","659,424.36","1,765,150.55",55,927.77,"1,287.88",0,0
,,,,냉동갈치(F),,,196,"1,190.7","6,642.08",0,0,0,0,0
,,,,냉동갈치(가염),,,2,14.45,26.25,0,0,0,0,0
,,,,냉동감펭,,,3,3.53,5.11,0,0,0,0,0
,,,,냉동감펭(한벌홍감펭),,,6,48.45,40.68,0,0,0,0,0
,,,,냉동감펭(홍감펭),,,267,"7,988.45","5,378.49",1,0.09,0.09,0,0
,,,,냉동갑오징어,,,"12,536","80,259.39","257,560.15",11,93.93,228.69,0,0
,,,,"냉동갑오징어(S,포장횟감)",,,530,678.42,"8,032.15",11,16.83,145.81,0,0
,,,,"냉동갑오징어(구운,S,포장횟감)",,,1,0.35,4.9,1,0.35,4.9,0,0
,,,,냉동갑오징어(다리),,,181,388.59,855.94,2,1.66,2.7,0,0
,,,,"냉동갑오징어(다리,자숙,포장횟감)",,,8,4.51,38.3,2,1.35,10.47,0,0
,,,,"냉동갑오징어(다리,포장횟감)",,,1,0.4,2.8,0,0,0,0,0
,,,,냉동갑오징어(동체),,,"3,427","15,710.67","108,292.87",5,12.88,39.19,0,0
,,,,"냉동갑오징어(동체,자숙)",,,13,63.89,436.46,0,0,0,0,0
,,,,"냉동갑오징어(동체,자숙,포장횟감)",,,1,0.49,7.69,0,0,0,0,0
,,,,"냉동갑오징어(동체,포장횟감)",,,80,111.26,"1,182.69",2,1.9,24.5,0,0
,,,,냉동갑오징어(지느러미),,,56,25.37,51.03,0,0,0,0,0
,,,,냉동갑오징어(포장횟감),,,4,1.07,17.19,0,0,0,0,0
,,,,냉동개복치,,,51,236.65,559.13,0,0,0,0,0
,,,,냉동개복치(F),,,392,"2,256.6","4,983.25",1,0.2,0.35,0,0
,,,,냉동개복치(붉은개복치),,,1,0.5,0.25,0,0,0,0,0
,,,,"냉동개복치(붉은개복치,F)",,,1,3.41,4.09,0,0,0,0,0
,,,,냉동개불,,,11,38.88,85.8,0,0,0,0,0
,,,,"냉동개불(절단,포장횟감)",,,1,0.85,2,0,0,0,0,0
,,,,냉동개아지살,,,172,"1,315.29","9,334.25",5,51.43,189.61,0,0
,,,,냉동개아지살(가리비),,,"1,073","5,555.41","58,324.17",4,0.62,2.76,0,0
,,,,"냉동개아지살(가리비,S,포장횟감)",,,33,41.64,869.53,2,0.2,6.56,0,0
,,,,"냉동개아지살(가리비,구운,포장횟감)",,,11,6.66,158.21,0,0,0,0,0
,,,,"냉동개아지살(가리비,자숙)",,,15,85.76,429.3,0,0,0,0,0
,,,,"냉동개아지살(가리비,자숙,포장횟감)",,,33,11.86,133.74,0,0,0,0,0
,,,,"냉동개아지살(가리비,포장횟감)",,,77,282.36,"6,889.07",0,0,0,0,0
,,,,"냉동개아지살(가리비,한쪽껍질붙은)",,,6,47.49,187.18,0,0,0,0,0
,,,,"냉동개아지살(가리비,횟감)",,,92,201.54,"4,111.21",1,2,31.74,0,0
,,,,냉동개아지살(자숙),,,2,32.04,153.79,0,0,0,0,0
,,,,냉동개아지살(키조개),,,"1,348","11,463.79","86,816.91",4,41.74,148.94,0,0
,,,,"냉동개아지살(키조개,자숙)",,,3,8.12,45.47,0,0,0,0,0
,,,,"냉동개아지살(키조개,포장횟감)",,,113,265.96,"3,176.8",2,4.04,40.13,0,0
,,,,냉동거북손(자숙),,,1,0.02,0.53,0,0,0,0,0
,,,,냉동게,,,"4,582","47,555.54","124,810.17",17,135.2,404.22,0,0
,,,,냉동게(GOLDEN CRAB),,,1,0.1,1.01,0,0,0,0,0
,,,,냉동게(RED CRAB),,,1,0.08,0.2,0,0,0,0,0
,,,,"냉동게(가시투성왕게,자숙,절단)",,,1,0.05,0.6,0,0,0,0,0
,,,,냉동게(깨다시꽃게),,,2,7.91,13.37,0,0,0,0,0
,,,,"냉동게(깨다시꽃게,절단)",,,1,12.22,22.52,0,0,0,0,0
,,,,냉동게(꽃게),,,"10,648","126,056.82","451,518.24",44,503.55,"1,787.7",0.7,0.8
,,,,"냉동게(꽃게,알)",,,2,0.05,1.21,1,0.02,0.41,0,0
,,,,"냉동게(꽃게,자숙)",,,8,81.49,133.86,0,0,0,0,0
,,,,"냉동게(꽃게,자숙,절단)",,,5,112.45,187.32,0,0,0,0,0
,,,,"냉동게(꽃게,절단)",,,"17,601","235,063.45","728,759.32",67,"1,395.26","3,729.91",1.11,2.28
,,,,"냉동게(꽃게,집게다리)",,,444,405.05,792.25,7,2.94,2.45,0,0
,,,,"냉동게(꽃게,집게다리,자숙)",,,24,259.53,706.39,0,0,0,0,0
,,,,"냉동게(너도대게, 절단)",,,2,12.68,138.89,0,0,0,0,0
,,,,냉동게(달랑게),,,1,23.02,13.81,0,0,0,0,0
,,,,냉동게(닭게),,,18,17.44,77.75,0,0,0,0,0
,,,,냉동게(대게),,,139,"1,120.86","8,671.51",4,4.69,14.44,0,0
,,,,"냉동게(대게,HYBRID SNOW CRAB,자숙)",,,11,130.97,243.94,0,0,0,0,0
,,,,"냉동게(대게,자숙)",,,217,"1,679.9","14,921.34",4,15.15,61.33,0,0
,,,,"냉동게(대게,자숙,절단)",,,"1,880","26,908.37","313,545.34",2,3.32,36.72,0,0
,,,,"냉동게(대게,절단)",,,449,"3,140.32","37,710.17",0,0,0,0,0
,,,,"냉동게(대게,집게다리,자숙)",,,35,66.79,858.66,0,0,0,0,0
,,,,냉동게(대서양청색꽃게),,,1,0.49,22.28,0,0,0,0,0
,,,,"냉동게(던지너스게,자숙,절단)",,,4,17.99,290.96,0,0,0,0,0
,,,,냉동게(던지네스게),,,16,16.62,111.81,0,0,0,0,0
,,,,"냉동게(던지네스게,자숙)",,,81,93.85,935.88,0,0,0,0,0
,,,,냉동게(두점박이민꽃게),,,208,"5,231.26","4,249.2",2,48,40.8,0,0
,,,,냉동게(맹그로브게),,,3,13.39,39.57,0,0,0,0,0
,,,,냉동게(물맞이게),,,3,0.3,1.04,0,0,0,0,0
,,,,냉동게(민꽃게),,,"1,355","20,480.04","55,622.13",7,164.58,355.05,0,0
,,,,"냉동게(민꽃게,자숙)",,,1,0.1,0.41,0,0,0,0,0
,,,,"냉동게(민꽃게,절단)",,,11,69.24,182.75,0,0,0,0,0
,,,,냉동게(범게),,,11,21.72,12.87,0,0,0,0,0
,,,,"냉동게(범게,절단)",,,1,7.75,11.24,0,0,0,0,0
,,,,냉동게(붉은대게),,,10,95.14,171.23,0,0,0,0,0
,,,,"냉동게(붉은대게,자숙)",,,28,230.36,929.6,1,2.88,2.59,0,0
,,,,"냉동게(붉은대게,자숙,절단)",,,955,"7,816.42","48,167.76",3,21.67,105.49,0,0
,,,,"냉동게(붉은대게,자숙,절단,포장횟감)",,,1,1.85,21.02,0,0,0,0,0
,,,,"냉동게(붉은대게,절단)",,,5,21.91,69.62,0,0,0,0,0
,,,,"냉동게(붉은대게,집게다리,자숙)",,,63,328.54,544.08,0,0,0,0,0
,,,,"냉동게(소라게,집게다리)",,,1,8.01,22.43,0,0,0,0,0
,,,,냉동게(알),,,1,0.01,0.07,0,0,0,0,0
,,,,냉동게(여섯갈래민꽃게),,,95,113.21,"1,051.71",0,0,0,0,0
,,,,냉동게(왕게),,,112,466.04,"4,467.66",0,0,0,0,0
,,,,"냉동게(왕게,자숙)",,,162,686.76,"9,151.52",0,0,0,0,0
,,,,"냉동게(왕게,자숙,절단)",,,889,"8,305.39","112,674.24",1,0.06,0.87,0,0
,,,,"냉동게(왕게,절단)",,,216,677.41,"7,914.18",0,0,0,0,0
,,,,"냉동게(왕게,집게다리,자숙)",,,24,31.32,395.33,0,0,0,0,0
,,,,냉동게(은행게),,,7,0.65,2.21,0,0,0,0,0
,,,,냉동게(자숙),,,18,91.29,401.19,0,0,0,0,0
,,,,"냉동게(자숙,절단)",,,95,"3,526.62","28,048.61",0,0,0,0,0
,,,,냉동게(절단),,,"5,740","42,732.78","124,548.04",24,448.23,909.37,0,0
,,,,냉동게(점박이꽃게),,,69,579.36,"2,252.8",0,0,0,0,0
,,,,"냉동게(점박이꽃게,절단)",,,81,524.33,"1,282.8",0,0,0,0,0
,,,,냉동게(조나게),,,2,17.68,93.74,0,0,0,0,0
,,,,"냉동게(조나게,집게다리,자숙)",,,1,0.14,2.21,0,0,0,0,0
,,,,냉동게(집게다리),,,405,"1,433.13","3,450.89",3,3.6,1.96,0,0
,,,,"냉동게(집게다리,자숙)",,,45,430.9,"1,132.28",1,0.2,1.7,0,0
,,,,냉동게(참게),,,288,"2,502.92","22,055.94",0,0,0,0,0
,,,,냉동게(코코넛게),,,4,2.98,17.83,0,0,0,0,0
,,,,냉동게(털게),,,35,28.91,131.79,1,0.98,5.88,0.02,0.06
,,,,"냉동게(털게,자숙)",,,78,137.1,"1,508.39",1,1.4,8.4,0,0
,,,,"냉동게(털게,자숙,절단)",,,1,0.18,1.5,0,0,0,0,0
,,,,냉동게(톱날꽃게),,,308,"1,289.33","14,309.51",2,12.73,144.67,0,0
,,,,"냉동게(톱날꽃게,자숙)",,,3,0.92,6.2,0,0,0,0,0
,,,,"냉동게(톱날꽃게,절단)",,,1,0.53,2.4,0,0,0,0,0
,,,,냉동게레치,,,2,2.5,3.88,0,0,0,0,0
,,,,냉동게르치,,,1,1.5,2.25,0,0,0,0,0
,,,,냉동게살,,,23,86.42,292.13,0,0,0,0,0
,,,,냉동게살(갑부담은),,,1,1.74,5.74,0,0,0,0,0
,,,,냉동게살(꽃게),,,2,6.52,20.95,0,0,0,0,0
,,,,"냉동게살(꽃게,자숙)",,,13,160.83,683,0,0,0,0,0
,,,,냉동게살(대게),,,16,51.71,332.88,0,0,0,0,0
,,,,"냉동게살(대게,자숙)",,,156,285.45,"4,858.56",1,0.23,1.16,0,0
,,,,"냉동게살(대게,자숙,포장횟감)",,,11,4.79,142.21,0,0,0,0,0
,,,,"냉동게살(대게,집게다리,자숙)",,,10,9.66,169.2,0,0,0,0,0
,,,,"냉동게살(대게,포장횟감)",,,5,0.54,16.6,0,0,0,0,0
,,,,냉동게살(붉은대게),,,7,34.83,254.74,0,0,0,0,0
,,,,"냉동게살(붉은대게,자숙)",,,226,"1,462.96","10,331.76",0,0,0,0,0
,,,,"냉동게살(붉은대게,자숙,각육)",,,1,9.27,131.25,0,0,0,0,0
,,,,"냉동게살(붉은대게,자숙,붕육)",,,1,12.21,86.65,0,0,0,0,0
,,,,"냉동게살(붉은대게,집게다리,자숙)",,,24,62.87,397.97,0,0,0,0,0
,,,,냉동게살(왕게),,,27,69.28,"1,149.02",0,0,0,0,0
,,,,"냉동게살(왕게,자숙)",,,147,187.72,"3,174.73",2,0.36,1.7,0,0
,,,,"냉동게살(왕게,포장횟감)",,,2,1.23,26,1,1.13,20.91,0,0
,,,,"냉동게살(은행게,자숙)",,,1,0.35,1.58,0,0,0,0,0
,,,,"냉동게살(은행게,집게다리,자숙)",,,1,0.1,0.54,0,0,0,0,0
,,,,냉동게살(자숙),,,77,461.13,"2,871.97",0,0,0,0,0
,,,,냉동게살(집게다리),,,4,17.34,23.85,0,0,0,0,0
,,,,"냉동게살(집게다리,자숙)",,,21,22.85,304.25,0,0,0,0,0
,,,,냉동고둥,,,4,32.67,34.77,0,0,0,0,0
,,,,냉동고둥(갈색띠매물고둥),,,1,0.68,0.82,0,0,0,0,0
,,,,냉동고둥(갯고둥),,,70,895.37,785.25,1,9.72,5.05,0,0
,,,,"냉동고둥(갯고둥,자숙)",,,963,"16,592.28","13,602.62",1,23.94,16.76,0,0
,,,,냉동고둥(골뱅이),,,98,"1,248.11","11,170.73",1,0.41,2.33,0,0
,,,,"냉동고둥(골뱅이,자숙)",,,226,"2,636.92","11,289.19",3,70.44,178.32,0,0
,,,,냉동고둥(논고둥),,,1,0.08,0.08,0,0,0,0,0
,,,,"냉동고둥(논고둥,자숙)",,,11,123.73,206.12,0,0,0,0,0
,,,,냉동고둥(매물고둥),,,1,2,3,0,0,0,0,0
,,,,냉동고둥(분홍입고둥),,,3,11.77,27.1,0,0,0,0,0
,,,,냉동고둥(삿갓바위고둥),,,4,51,638.01,0,0,0,0,0
,,,,냉동고둥(수랑),,,12,56.76,99.89,0,0,0,0,0
,,,,"냉동고둥(수랑,자숙)",,,6,55.7,114.11,0,0,0,0,0
,,,,냉동고둥(자숙),,,11,76.55,118.12,1,9.55,6.21,0,0
,,,,"냉동고둥(좁쌀무늬고둥,자숙)",,,1,5.1,3.06,0,0,0,0,0
,,,,냉동고둥(칠리전복),,,1,0.21,2.09,0,0,0,0,0
,,,,냉동고둥(털탑고둥),,,4,2.29,2.65,0,0,0,0,0
,,,,냉동고둥(피뿔고둥),,,69,878.18,"1,655.56",3,54.14,83.52,0,0
,,,,"냉동고둥(피뿔고둥,자숙)",,,208,"3,625.67","7,324.73",7,98.67,181.27,0,0
,,,,냉동고둥살(ADELOMELON ANCILLA),,,2,0.41,2.38,0,0,0,0,0
,,,,냉동고둥살(INDIAN VOLUTE),,,1,0.59,1.2,0,0,0,0,0
,,,,"냉동고둥살(Malea ringens,자숙)",,,1,3.8,14.76,0,0,0,0,0
,,,,냉동고둥살(SINUM UNDULATUS),,,1,0.99,2.17,0,0,0,0,0
,,,,냉동고둥살(TROPHON),,,4,0.71,3.58,0,0,0,0,0
,,,,"냉동고둥살(감생이고둥,자숙)",,,1,10.36,36.25,0,0,0,0,0
,,,,"냉동고둥살(갯고둥,자숙)",,,20,159.65,330.72,0,0,0,0,0
,,,,냉동고둥살(검은갯고둥),,,3,4.16,4.22,0,0,0,0,0
,,,,냉동고둥살(골뱅이),,,301,"5,401.1","76,708.78",1,1.28,8.21,0,0
,,,,"냉동고둥살(골뱅이,S)",,,74,237.07,"2,636.49",0,0,0,0,0
,,,,"냉동고둥살(골뱅이,S,포장횟감)",,,473,"1,891.36","26,443.8",5,12.68,62.83,0,0
,,,,"냉동고둥살(골뱅이,자숙)",,,"5,042","99,161.39","845,949",15,162.47,904.3,0,0
,,,,"냉동고둥살(골뱅이,자숙,횟감)",,,2,28,416,0,0,0,0,0
,,,,냉동고둥살(논고둥),,,3,30.84,87.65,0,0,0,0,0
,,,,"냉동고둥살(논고둥,자숙)",,,"1,442","19,869.2","32,342",24,375.53,581.55,0,0
,,,,"냉동고둥살(뿔소라,자숙)",,,10,178.97,912.63,0,0,0,0,0
,,,,냉동고둥살(위고둥),,,24,250.85,419.67,0,0,0,0,0
,,,,"냉동고둥살(위고둥,자숙)",,,"1,342","22,977.31","66,449.38",3,22.7,52.55,0,0
,,,,냉동고둥살(자숙),,,79,997.88,"5,619.32",1,18,36.27,0,0
,,,,냉동고둥살(조각매물고둥),,,1,0.1,0.14,0,0,0,0,0
,,,,"냉동고둥살(청자고둥,자숙)",,,1,1.34,2.55,0,0,0,0,0
,,,,냉동고둥살(칠리전복),,,6,13.72,173.22,0,0,0,0,0
,,,,"냉동고둥살(털탑고둥,자숙)",,,2,2.5,3.93,0,0,0,0,0
,,,,냉동고둥살(피뿔고둥),,,20,250.02,"1,158.86",0,0,0,0,0
,,,,"냉동고둥살(피뿔고둥,자숙)",,,"3,433","45,872.8","289,578.67",21,136.64,708.75,0,0
,,,,"냉동고둥살(피뿔고둥,자숙,S,포장횟감)",,,26,41.83,461.54,0,0,0,0,0
,,,,냉동고둥살(홍줄고둥),,,1,0.1,0.24,0,0,0,0,0
,,,,"냉동고둥살(홍줄고둥,자숙)",,,4,32.18,66.65,0,0,0,0,0
,,,,냉동고등어,,,"12,330","701,005.44","1,087,914.36",8,460.38,238.8,0,0
,,,,냉동고등어(F),,,542,"13,747.69","53,184.99",0,0,0,0,0
,,,,"냉동고등어(F,포장횟감)",,,5,3.25,42.08,0,0,0,0,0
,,,,냉동고등어(가염),,,5,43.97,118.18,0,0,0,0,0
,,,,"냉동고등어(가염,F)",,,1,42.06,21.9,0,0,0,0,0
,,,,냉동고등어(구운),,,1,2,27.4,0,0,0,0,0
,,,,냉동고등어(줄무늬고등어),,,37,293.16,517.34,0,0,0,0,0
,,,,냉동고등어(훈제),,,2,1.13,5.53,0,0,0,0,0
,,,,냉동곤들매기,,,1,0.01,0.02,0,0,0,0,0
,,,,냉동곤이(대구),,,"2,627","32,631.1","60,672.94",6,74.69,86.23,0,0
,,,,냉동곤이(명태),,,"6,225","116,777.44","214,507.71",18,157.04,256.37,0,0
,,,,냉동곤이(연어),,,13,47.78,75.91,0,0,0,0,0
,,,,냉동곤이(오징어),,,1,14.85,24.5,0,0,0,0,0
,,,,냉동곤이(청어),,,1,1.53,0.53,0,0,0,0,0
,,,,냉동곰치,,,1,0.17,0.44,0,0,0,0,0
,,,,냉동구라미,,,75,141.76,814.97,0,0,0,0,0
,,,,냉동구라미(가염),,,2,2.52,13.2,0,0,0,0,0
,,,,냉동군평선이,,,9,14.22,43.36,0,0,0,0,0
,,,,냉동굴,,,85,"1,891.42","2,446.64",0,0,0,0,0
,,,,냉동굴(자숙),,,2,25.12,191.71,0,0,0,0,0
,,,,"냉동굴(자숙,탈각)",,,41,706.8,"2,422.31",0,0,0,0,0
,,,,냉동굴(탈각),,,70,735.67,"3,082.31",1,8.81,48.61,0,0
,,,,냉동굴(한쪽껍질붙은),,,15,131.19,381.51,2,19.45,19.91,0,0
,,,,냉동그레이트바라쿠다,,,1,0.45,0.31,0,0,0,0,0
,,,,냉동기름치,,,"2,777","39,095.78","102,940.29",1,0.33,0.42,0,0
,,,,냉동기름치(F),,,88,"1,016.7","4,024.34",1,1.1,4.93,0,0
,,,,"냉동기름치(F,포장횟감)",,,11,57.82,183.48,1,14.48,36.2,0,0
,,,,"냉동기름치(F,횟감)",,,22,157.75,537.06,1,0.39,3.26,0,0
,,,,냉동김,,,1,10.8,50,0,0,0,0,0
,,,,냉동까나리,,,15,602.74,254.06,0,0,0,0,0
,,,,냉동꺽정이(올꺽정이),,,1,1.54,0.31,0,0,0,0,0
,,,,냉동꺽정이(혹꺽정이),,,1,0.25,0.28,0,0,0,0,0
,,,,냉동꺽지,,,13,7.03,24.78,0,0,0,0,0
,,,,냉동꺽지(F),,,69,"1,141.46","3,767.59",0,0,0,0,0
,,,,"냉동꼬막(새꼬막,자숙)",,,6,33.56,96.11,0,0,0,0,0
,,,,"냉동꼬막(새꼬막,자숙,한쪽껍질붙은)",,,9,166.14,211.44,1,10.98,14.82,0,0
,,,,"냉동꼬막(자숙,한쪽껍질붙은)",,,6,61.19,77.35,0,0,0,0,0
,,,,냉동꼬막살,,,7,18.55,105.4,0,0,0,0,0
,,,,냉동꼬막살(새꼬막),,,14,53.42,295.24,0,0,0,0,0
,,,,"냉동꼬막살(새꼬막,자숙)",,,60,328.05,592.12,1,23.48,46.97,0,0
,,,,냉동꼬치고기,,,79,877.66,"2,136.98",2,0.33,0.18,0,0
,,,,냉동꼬치고기(애꼬치),,,1,1.32,0.79,0,0,0,0,0
,,,,냉동꼬치고기(창꼬치),,,1,0.01,0.07,0,0,0,0,0
,,,,"냉동꼬치고기(창꼬치,F)",,,3,7.52,16.62,0,0,0,0,0
,,,,냉동꼴뚜기,,,286,"5,051.41","6,998.21",0,0,0,0,0
,,,,냉동꼴뚜기(다리),,,1,1.1,4.4,0,0,0,0,0
,,,,냉동꼴뚜기(자숙),,,4,8.82,25.57,1,0.08,1.83,0,0
,,,,냉동꼴뚜기(흰꼴뚜기),,,23,27.61,276.33,0,0,0,0,0
,,,,냉동꼼치,,,2,17.5,9.44,0,0,0,0,0
,,,,냉동꽁치,,,"5,885","815,522.38","748,581.9",4,319.69,56.88,0,0
,,,,냉동꽁치(F),,,14,248.77,396.4,0,0,0,0,0
,,,,"냉동꽁치(F,포장횟감)",,,3,0.4,7.45,0,0,0,0,0
,,,,냉동꽁치(구운),,,1,1.5,8.55,0,0,0,0,0
,,,,냉동꽃개소겡,,,1,0.24,0.54,0,0,0,0,0
,,,,냉동나일농어(F),,,1,1.08,5.29,0,0,0,0,0
,,,,냉동낙지,,,"45,715","688,201.14","2,226,108.46",260,"4,526.32","15,333.54",3.98,5.47
,,,,냉동낙지(가염),,,1,5.59,19.56,0,0,0,0,0
